Customer_ID,Customer_Name,Gender,Age,Date_of_Birth,Marital_Status,Education,Occupation,Employment_Type,Employer_Name,Annual_Income,Income_Group,Customer_Segment,Account_Type,Existing_Loans,Dependents,Credit_Card_Holder,Years_With_Bank,Customer_Status,Join_Date
CUST00001,Faqid Rana,Male,30,1995-09-02,Married,Post Graduate,IT Professional,Salaried,"Bava, Bora and Wason",1034705,High,Platinum,Premium,0,3,No,7,Active,2019-07-26
CUST00002,Qadim Bhardwaj,Male,41,1984-10-18,Married,Diploma,Government Employee,Government,"Kala, Barad and Chadha",958037,Middle,Gold,Salary,0,1,Yes,13,Active,2013-07-27
CUST00003,Shaurya Boase,Male,41,1984-10-31,Married,Diploma,Self-Employed,Self-Employed,Chana PLC,1090122,High,Platinum,Salary,0,0,Yes,21,Active,2005-07-29
CUST00004,Bhanumati Dasgupta,Female,43,1982-11-05,Married,Diploma,Business Owner,Business,Bhatia PLC,2358203,Premium,Corporate,Savings,1,1,Yes,6,Active,2020-07-25
CUST00005,Aryan Kant,Male,62,1963-12-23,Married,PhD,IT Professional,Salaried,Deol LLC,945786,Middle,Gold,Current,3,3,Yes,5,Closed,2021-07-25
CUST00006,Ekbal Zachariah,Male,46,1980-02-26,Married,Diploma,Engineer,Salaried,Morar PLC,1086414,High,Platinum,Savings,3,3,Yes,3,Active,2023-07-25
CUST00007,Dalaja Guha,Female,49,1976-08-22,Single,Diploma,Engineer,Salaried,Chatterjee-Bhatnagar,1021012,High,Platinum,Savings,0,4,Yes,15,Active,2011-07-28
CUST00008,Harshil Taneja,Male,36,1990-03-29,Married,Post Graduate,Engineer,Salaried,"Wali, Sane and Murthy",764846,Middle,Gold,Savings,3,3,No,9,Active,2017-07-26
CUST00009,Vasana Pathak,Female,50,1976-01-24,Single,High School,IT Professional,Salaried,Kothari-Gole,845256,Middle,Gold,Savings,2,1,No,16,Active,2010-07-28
CUST00010,Banjeet Mital,Male,45,1980-09-26,Married,PhD,Government Employee,Government,"Talwar, Oza and Sen",776506,Middle,Gold,Salary,2,3,No,22,Active,2004-07-29
CUST00011,Balhaar Dalal,Male,43,1983-01-11,Married,High School,Doctor,Salaried,"Sahota, Gala and Oommen",1615287,High,Platinum,Savings,0,4,Yes,2,Active,2024-07-24
CUST00012,Wishi Sama,Female,48,1978-06-30,Single,Graduate,IT Professional,Salaried,Brahmbhatt PLC,856219,Middle,Gold,Savings,1,0,No,12,Closed,2014-07-27
CUST00013,Onkar Palla,Male,43,1983-06-22,Married,Graduate,Banker,Salaried,"Taneja, Shan and Biswas",869738,Middle,Gold,Salary,0,4,No,17,Active,2009-07-28
CUST00014,Krishna Som,Male,23,2002-11-02,Single,Diploma,Government Employee,Government,"Bhattacharyya, Bhat and Mukherjee",598224,Middle,Gold,Current,0,1,No,5,Active,2021-07-25
CUST00015,Lucky Raju,Male,56,1970-02-20,Married,Graduate,Self-Employed,Self-Employed,"Palan, Bajaj and Shenoy",1505992,High,Platinum,Savings,2,5,Yes,8,Active,2018-07-26
CUST00016,Frado Dada,Male,53,1973-07-23,Single,Graduate,IT Professional,Salaried,Bhargava-Kamdar,1046775,High,Platinum,Savings,4,2,Yes,24,Active,2002-07-30
CUST00017,Dhruv Kota,Male,32,1994-04-19,Married,PhD,Government Employee,Government,Raman-Taneja,560801,Middle,Gold,Premium,2,0,Yes,12,Inactive,2014-07-27
CUST00018,Geetika Sen,Female,54,1971-12-06,Single,Graduate,Government Employee,Government,Mall-Devan,596434,Middle,Gold,Premium,0,3,Yes,24,Active,2002-07-30
CUST00019,Liam Sagar,Male,29,1997-05-15,Married,Graduate,Government Employee,Government,Rai-Kashyap,816860,Middle,Gold,Salary,1,2,Yes,11,Active,2015-07-27
CUST00020,Benjamin Goda,Male,22,2003-09-01,Single,High School,Banker,Salaried,Kata Ltd,706840,Middle,Gold,Premium,2,1,Yes,4,Active,2022-07-25
CUST00021,Abeer Sundaram,Male,34,1991-10-06,Married,Graduate,Self-Employed,Self-Employed,"Gopal, Lall and Manda",1003851,High,Platinum,Salary,1,4,No,15,Active,2011-07-28
CUST00022,Eta Saini,Female,29,1997-05-15,Married,High School,Engineer,Salaried,"Pingle, Nagar and Dass",773385,Middle,Gold,Savings,0,3,Yes,5,Active,2021-07-25
CUST00023,Vedant Ramanathan,Male,44,1981-10-24,Married,Post Graduate,Student,Salaried,Rastogi-Ramesh,150136,Low,Retail,Savings,2,4,No,2,Active,2024-07-24
CUST00024,Warda Rattan,Female,65,1960-12-26,Married,PhD,Government Employee,Government,Halder Inc,643749,Middle,Gold,Savings,1,3,Yes,17,Active,2009-07-28
CUST00025,Urvi Gaba,Female,67,1959-03-31,Single,Post Graduate,Doctor,Salaried,Oak PLC,1923330,High,Platinum,Savings,1,0,Yes,13,Active,2013-07-27
CUST00026,Charan Acharya,Male,37,1989-06-01,Single,High School,Banker,Salaried,"Dora, Yadav and Chaudhuri",956923,Middle,Gold,Savings,4,1,Yes,5,Active,2021-07-25
CUST00027,Agastya Bobal,Male,70,1956-04-18,Married,Graduate,Business Owner,Business,Puri and Sons,2207633,Premium,Corporate,Savings,0,2,Yes,11,Active,2015-07-27
CUST00028,Oscar Patla,Male,51,1975-01-22,Married,Graduate,Business Owner,Business,Das-D’Alia,1844863,High,Platinum,Premium,4,0,Yes,8,Active,2018-07-26
CUST00029,Viraj Srinivasan,Male,56,1970-03-22,Single,Post Graduate,Self-Employed,Self-Employed,Muni-Chada,1446701,High,Platinum,Premium,0,4,No,13,Active,2013-07-27
CUST00030,Charan Oommen,Male,26,1999-08-13,Single,High School,Student,Salaried,"Lanka, Srinivas and Edwin",173043,Low,Retail,Savings,2,0,Yes,3,Active,2023-07-25
CUST00031,Ishanvi Wable,Female,42,1984-02-12,Single,Graduate,Student,Salaried,Din-Bala,211143,Low,Retail,Savings,0,0,Yes,23,Active,2003-07-30
CUST00032,Chakradev Lal,Male,66,1959-09-23,Married,Post Graduate,Teacher,Salaried,"Peri, Ganesh and Parekh",550026,Middle,Gold,Savings,2,2,Yes,12,Active,2014-07-27
CUST00033,Zinal Thakkar,Female,45,1981-04-29,Married,Diploma,Engineer,Salaried,Kapoor-Hayer,1015743,High,Platinum,Salary,1,3,No,22,Active,2004-07-29
CUST00034,Suhani Karan,Female,38,1987-08-07,Married,High School,Retired,Salaried,Vasa Group,625108,Middle,Gold,Current,0,5,No,1,Active,2025-07-24
CUST00035,Akshay Bala,Male,49,1977-01-22,Single,Graduate,Teacher,Salaried,Sodhi-Lad,472663,Low,Retail,Savings,0,2,No,15,Active,2011-07-28
