Employee_ID,Employee_Name,Gender,Designation,Department,Branch_ID,Experience_Years,Performance_Rating,Salary,Joining_Date,Employment_Status
EMP0001,Vidhi Seth,Female,Sales Executive,Sales,BR049,25,3.7,876372,2000-10-03,Active
EMP0002,Hiral Vala,Female,Branch Manager,Management,BR138,6,2.7,1700404,2020-06-09,Active
EMP0003,Girik Chandra,Male,Senior Loan Officer,Retail Banking,BR167,13,4.9,1289511,2012-09-15,Active
EMP0004,Max Dhar,Male,Operations Executive,Operations,BR154,3,2.6,562355,2023-03-24,Active
EMP0005,Anvi Randhawa,Female,Loan Officer,Retail Banking,BR076,19,4.6,1024403,2006-09-05,Active
EMP0006,Farhan Aurora,Male,Loan Officer,Retail Banking,BR182,9,3.5,833964,2017-06-14,Active
EMP0007,Ayushman Banik,Male,Senior Loan Officer,Retail Banking,BR028,1,2.7,976369,2024-12-31,Active
EMP0008,Kavya Balan,Female,Relationship Manager,Retail Banking,BR238,1,4.6,788045,2025-04-08,On Leave
EMP0009,Omisha Sastry,Female,Loan Officer,Retail Banking,BR051,23,3.5,1004696,2002-09-11,Active
EMP0010,Yochana Kaur,Female,Loan Officer,Retail Banking,BR035,10,3.3,923428,2016-05-27,Active
EMP0011,Zaid Agrawal,Male,Relationship Manager,Retail Banking,BR049,15,4.5,1153047,2010-10-15,Active
EMP0012,Veer Mall,Male,Regional Manager,Management,BR102,25,2.8,3960660,2001-06-01,Active
EMP0013,Benjamin Kumar,Male,Relationship Manager,Retail Banking,BR048,19,3.3,1437220,2007-04-13,Active
EMP0014,Ishwar Varghese,Male,Relationship Manager,Retail Banking,BR085,5,3.0,930243,2020-09-16,Active
EMP0015,Amruta Boase,Female,Relationship Manager,Retail Banking,BR154,3,3.0,951809,2023-07-18,Active
EMP0016,Suhani Chokshi,Female,Relationship Manager,Retail Banking,BR047,19,3.7,1354403,2007-01-13,Active
EMP0017,Sanya Bhavsar,Female,Sales Executive,Sales,BR241,20,3.1,750368,2005-09-10,Active
EMP0018,Aachal Kala,Female,Sales Executive,Sales,BR010,20,2.7,727584,2006-06-04,Active
EMP0019,Ati Singhal,Female,Loan Officer,Retail Banking,BR126,23,3.5,1081103,2002-09-28,Active
EMP0020,Rushil Saini,Male,Sales Executive,Sales,BR219,3,2.8,542743,2022-08-25,Active
EMP0021,Hardik Madan,Male,Loan Officer,Retail Banking,BR115,7,4.4,718727,2018-12-28,Active
EMP0022,Caleb Mukhopadhyay,Male,Relationship Manager,Retail Banking,BR093,12,3.8,1265372,2014-06-10,Active
EMP0023,Advika Rout,Female,Regional Manager,Management,BR152,22,4.3,3668024,2004-05-19,Active
EMP0024,Ekalinga Koshy,Male,Loan Officer,Retail Banking,BR154,12,4.3,965817,2014-07-17,Active
EMP0025,Aashi Bhasin,Female,Relationship Manager,Retail Banking,BR116,10,3.3,1215358,2016-06-18,Active
